Category,Key,English,Telugu,Hindi,Kannada,Malayalam,Punjabi,Haryanvi,Rajasthani,Bhojpuri,Gujarati,Odia,Bengali,Assamese
Greeting,joke chepu ra babu,"😂 What jokes buddy, better go study!!",TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Motivation,hard work,Hard work today brings a good harvest tomorrow.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Motivation,farming quote,Farming is the backbone of every nation.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Motivation,success,"Success in farming comes from patience, knowledge, and care.",TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Motivation,faith,"Plant with faith, water with hope, and harvest with love.",TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
General,organic farming,Organic farming avoids chemicals and uses natural fertilizers like compost and manure.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
General,best season for rice,Rice grows best in Kharif season (June–November) with high rainfall.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
General,best season for wheat,Wheat grows in Rabi season (October–March) in cooler climates.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
General,best season for tomato,Tomatoes grow well in summer and need well-drained soil with moderate watering.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
General,fertilizer for yield,"Use NPK (Nitrogen, Phosphorus, Potassium) mix to improve yield.",TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
General,crop rotation,Rotating crops improves soil fertility and reduces pest attack.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
General,intercropping,Planting marigold with tomato helps repel pests naturally.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Weather,rain,Too much rain causes waterlogging — use proper drainage systems.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Weather,summer,"In summer, drip irrigation saves water and boosts yield.",TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Weather,winter,Wheat and mustard thrive well in winter season with cooler temperatures.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Weather,monsoon,Rice and sugarcane are well suited for monsoon season.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Fun,joke,Why did the scarecrow win an award? Because he was outstanding in his field 😆.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Fun,fun fact,"Bananas are technically berries, but strawberries are not! 🍓🍌",TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Fun,meme,Farmer + AI = Smart Farming 🚜🤖,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Fertilizer,Nitrogen (N),Promotes leafy growth and improves yield.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Fertilizer,Phosphorus (P),Strengthens roots and helps in flowering.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Fertilizer,Potassium (K),Improves disease resistance and fruit quality.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Fertilizer,Urea,High source of nitrogen for fast growth.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Fertilizer,DAP,Good source of phosphorus and nitrogen.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Fertilizer,MOP,Provides potassium for crop strength.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Irrigation,Drip irrigation,Saves water and increases productivity.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Irrigation,Sprinkler irrigation,"Uniform water distribution, suitable for light soils.",TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
Practice,Mulching,Conserves soil moisture and controls weeds.,TRANSLATED_Telugu,TRANSLATED_Hindi,TRANSLATED_Kannada,TRANSLATED_Malayalam,TRANSLATED_Punjabi,TRANSLATED_Haryanvi,TRANSLATED_Rajasthani,TRANSLATED_Bhojpuri,TRANSLATED_Gujarati,TRANSLATED_Odia,TRANSLATED_Bengali,TRANSLATED_Assamese
