General,best season for wheat.,Wheat grows in Rabi season (October–March) in cooler climates.,గోధుమలు శీతాకాలం (అక్టోబర్–మార్చ్)లో చల్లని వాతావరణంలో బాగా పెరుగుతాయి.,गेहूं रबी सीजन (अक्टूबर–मार्च) में ठंडे मौसम में उगता है।
General,best season for tomato.,Tomatoes grow well in summer and need well-drained soil with moderate watering.,టమాటాలు వేసవిలో బాగా పెరుగుతాయి మరియు మోస్తరు నీరు ఉన్న బాగా డ్రైనేజు అయ్యే మట్టి కావాలి.,"टमाटर गर्मियों में अच्छी तरह उगते हैं, इन्हें उचित जल निकासी वाली मिट्टी चाहिए।"
General,fertilizer for yield.,"Use NPK (Nitrogen, Phosphorus, Potassium) mix to improve yield.","NPK (నైట్రోజన్, ఫాస్ఫరస్, పొటాషియం) మిశ్రమం పంట దిగుబడి పెంచుతుంది.","उत्पादन बढ़ाने के लिए NPK (नाइट्रोजन, फॉस्फोरस, पोटैशियम) का मिश्रण उपयोग करें।"
General,crop rotation.,Rotating crops improves soil fertility and reduces pest attack.,పంటల మార్పిడి మట్టికి పోషకాలు పెరుగుతాయి మరియు పురుగులు తగ్గుతాయి.,फसल चक्र मिट्टी की उर्वरता बढ़ाता है और कीटों को कम करता है।
General,what is intercropping?,Planting marigold with tomato helps repel pests naturally.,టమాటాతో మారిగోల్డ్ నాటి సహజంగా పురుగులు నివారించవచ్చు.,टमाटर के साथ गेंदा लगाने से कीटों से प्राकृतिक सुरक्षा मिलती है।
Weather,rain?,Too much rain causes waterlogging — use proper drainage systems.,అధిక వర్షం నీటి నిల్వకు కారణమవుతుంది — సరైన డ్రైనేజు ఉపయోగించండి.,बहुत अधिक बारिश जलभराव का कारण बनती है — सही निकासी प्रणाली अपनाएं।
Weather,summer.,"In summer, drip irrigation saves water and boosts yield.",వేసవిలో డ్రిప్ ఇరిగేషన్ నీటిని ఆదా చేస్తుంది మరియు దిగుబడి పెరుగుతుంది.,गर्मियों में ड्रिप सिंचाई से पानी की बचत होती है और उत्पादन बढ़ता है।
Weather,winter.,Wheat and mustard thrive well in winter season with cooler temperatures.,గోధుమ మరియు ఆవాలు చల్లని శీతాకాల వాతావరణంలో బాగా పెరుగుతాయి.,गेहूं और सरसों सर्दियों के ठंडे मौसम में अच्छी तरह बढ़ती हैं।
Weather,monsoon.,Rice and sugarcane are well suited for monsoon season.,వర్షాకాలంలో బియ్యం మరియు చెరకు బాగా పెరుగుతాయి.,धान और गन्ना मानसून में अच्छी तरह उगते हैं।
Fun,joke.,Why did the scarecrow win an award? Because he was outstanding in his field 😆.,ఎందుకు బంగారు పహనికీ బహుమతి ఇచ్చారు? ఎందుకంటే అది పొలాల్లో అవుట్‌స్టాండింగ్ గా ఉంది! 😆,क्यों डरावने पुतले को पुरस्कार मिला? क्योंकि वह अपने खेत में ‘आउटस्टैंडिंग’ था! 😆
Fun,fun fact.,"Bananas are technically berries, but strawberries are not! 🍓🍌","అరటిపండ్లు వాస్తవానికి బెర్రీలు, కానీ స్ట్రాబెర్రీలు కాదు! 🍓🍌","केले असल में बेरी होते हैं, लेकिन स्ट्रॉबेरी नहीं! 🍓🍌"
Fun,meme,Farmer + AI = Smart Farming 🚜🤖,రైతు + AI = స్మార్ట్ వ్యవసాయం 🚜🤖,किसान + AI = स्मार्ट खेती 🚜🤖
Fertilizer,purpose of Nitrogen?,Promotes leafy growth and improves yield.,ఇల్లు ఆకుల పెరుగుదలను ప్రోత్సహిస్తుంది మరియు దిగుబడి పెరుగుతుంది.,नाइट्रोजन से पत्तियों की बढ़वार और उपज बेहतर होती है।
Fertilizer,purpose of Phosphorus?,Strengthens roots and helps in flowering.,వేరుళ్లను బలోపేతం చేస్తుంది మరియు పుష్పించడంలో సహాయపడుతుంది.,जड़ों को मजबूत करता है और फूल आने में मदद करता है।
Fertilizer,purpose of Potassium?,Improves disease resistance and fruit quality.,రోగనిరోధకతను మరియు పండ్ల నాణ్యతను మెరుగుపరుస్తుంది.,रोग प्रतिरोधक क्षमता और फलों की गुणवत्ता को बढ़ाता है।
Fertilizer,Urea.,High source of nitrogen for fast growth.,ఫాస్ట్ గ్రోత్ కోసం అధిక నైట్రోజన్ సోర్స్.,तेजी से बढ़ने के लिए नाइट्रोजन का अच्छा स्रोत।
Fertilizer,DAP.,Good source of phosphorus and nitrogen.,ఫాస్ఫరస్ మరియు నైట్రోజన్‌కు మంచి సోర్స్.,फॉस्फोरस और नाइट्रोजन का अच्छा स्रोत।
Fertilizer,MOP.,Provides potassium for crop strength.,పొటాషియం అందించి పంట బలాన్ని పెంచుతుంది.,पौधों की ताकत के लिए पोटैशियम प्रदान करता है।
Irrigation,Drip irrigation.,Saves water and increases productivity.,నీటిని ఆదా చేస్తుంది మరియు దిగుబడిని పెంచుతుంది.,पानी की बचत करता है और उत्पादन बढ़ाता है।
Irrigation,Sprinkler irrigation.,"Uniform water distribution, suitable for light soils.","నీటి సమాన పంపిణీ, తేలికపాటి మట్టికి అనుకూలం.","समान पानी वितरण, हल्की मिट्टी के लिए उपयुक्त।"
Practice,Mulching.,Conserves soil moisture and controls weeds.,మట్టిలో తేమను నిలుపుతుంది మరియు కలుపు నివారిస్తుంది.,मिट्टी में नमी बनाए रखता है और खरपतवारों को नियंत्रित करता है।
